name,ring,quadrant,isNew,description,move,tags
makefile,Adopt,languages-and-frameworks,FALSE,,,
Okta,Assess,Platforms,FALSE,,,"security, auth"
Azure ARM,Adopt,Platforms,FALSE,,,
Bicep,Assess,Platforms,FALSE,,,"slx-innovation"
Azure Active Directory (Entra ID),Adopt,Platforms,FALSE,,,"security, auth"
Azure AD B2C,Trial,Platforms,FALSE,,,"security, auth"
Azure API Management Services,Adopt,Platforms,FALSE,,,
Azure Application Insight,Adopt,Platforms,FALSE,,,observability
Azure App Services,Adopt,Platforms,FALSE,,,
Azure Batch,Trial,Platforms,FALSE,,OUT,
Azure Cache for Redis,Adopt,Platforms,FALSE,,,
Azure Cloud Services (Classic),Hold,Platforms,FALSE,,OUT,
Azure Cognitive Search,Trial,Platforms,FALSE,,,
Azure Cosmos DB,Adopt,Platforms,FALSE,,,
Azure Databricks,Trial,Platforms,TRUE,,IN,big-data
Azure Event Hubs,Trial,Platforms,FALSE,,,
Azure Event Grid,Adopt,Platforms,FALSE,,,
Azure Functions,Adopt,Platforms,FALSE,,,
Azure Maps Accounts,Hold,Platforms,FALSE,,,
Azure Key Vault,Adopt,Platforms,FALSE,,,
Azure Kubernetes Services,Hold,Platforms,FALSE,,,
Azure OpenAI,Trial,Platforms,FALSE,,,ai-ml
Azure Service Bus,Trial,Platforms,FALSE,,,
Azure Service Fabric,Hold,Platforms,FALSE,,OUT,
Azure SQL Databases,Adopt,Platforms,FALSE,,,
"Azure Storage (Blob, Table, Queue)",Adopt,Platforms,FALSE,,,
Azure Synapse,Trial,Platforms,FALSE,,,big-data
Azure Virtual Machines,Hold,Platforms,FALSE,,OUT,
Microsoft Defender for Cloud,Trial,Tools,TRUE,,IN,security
SonarQube,Trial,Tools,FALSE,,,security
xUnit,Adopt,languages-and-frameworks,FALSE,,,testing
NUnit,Adopt,languages-and-frameworks,FALSE,,,testing
Dapper (mapper for .Net),Adopt,languages-and-frameworks,FALSE,,,
Aha,Adopt,Tools,FALSE,,,
JIRA,Adopt,Tools,FALSE,,,
Lucid Chart,Adopt,Tools,FALSE,,,
Stack Overflow Teams,Assess,Tools,FALSE,,,
Scribe,Assess,Tools,TRUE,,OUT,
Azure Wiki,Trial,Tools,FALSE,,,
Attlassian Confluence,Hold,Tools,TRUE,,,
StackShare,Hold,Tools,TRUE,,OUT,
Slack,Adopt,Tools,FALSE,,,
Backstage (by Spotify),Hold,Tools,TRUE,,,
GraphMaker.ai,Hold,Tools,TRUE,,,"slx-innovation, data-visualization"
